timestamp,side,quantity,price,calculated_amount,fee,PnL,Cumulative_PnL
2024-03-08 00:56:00,1,0.02107392,94838000,1998608.42496,999.3,-1999607.72496,509143.83952999883
2024-03-08 01:00:00,0,0.05,94737000,4736850.0,2368.42,4734481.58,5243625.419529999
2024-03-08 01:00:00,0,0.00550875,94635000,521320.55624999997,260.66,521059.89625,5764685.315779999
2024-03-08 01:00:00,0,0.00341083,94621000,322736.14543000003,161.36,322574.78543000005,6087260.101209999
2024-03-08 01:00:00,0,0.00590957,94621000,559169.4229700001,279.58,558889.8429700001,6646149.944179999
2024-03-08 01:00:00,1,0.0057,94733000,539978.1,269.98,-540248.08,6105901.864179999
2024-03-08 01:00:00,0,0.028538,94621000,2700294.098,1350.14,2698943.958,8804845.82218
2024-03-08 01:10:00,1,0.01405934,94708000,1331531.97272,665.76,-1332197.73272,7472648.089459999
2024-03-08 01:10:00,1,0.01989651,94708000,1884358.66908,942.17,-1885300.8390799998,5587347.25038
2024-03-08 01:10:00,1,0.00527933,94708000,499994.78563999996,249.99,-500244.77563999995,5087102.47474
2024-03-08 01:10:00,1,0.00224754,94710000,212864.51340000003,106.43,-212970.94340000002,4874131.53134
2024-03-08 01:10:00,1,0.00416482,94708000,394441.77255999995,197.22,-394638.9925599999,4479492.53878
2024-03-08 01:10:00,1,0.02011835,94710000,1905408.9285,952.7,-1906361.6284999999,2573130.9102800004
2024-03-08 01:10:00,1,0.0145112,94710000,1374355.752,687.17,-1375042.922,1198087.9882800004
2024-03-08 01:10:00,1,0.00784515,94710000,743014.1565,371.5,-743385.6565,454702.33178000036
2024-03-08 01:10:00,1,0.00527776,94710000,499856.6496,249.92,-500106.5696,-45404.23781999963
2024-03-08 01:13:00,0,0.03130505,94411000,2955541.07555,1477.77,2954063.30555,2908659.0677300007
2024-03-08 01:13:00,0,0.01869495,94414000,1765065.0092999998,882.53,1764182.4792999998,4672841.54703
2024-03-08 01:13:00,0,0.04994936,94403000,4715369.43208,2357.68,4713011.75208,9385853.29911
2024-03-08 01:14:00,0,0.03981118,94453000,3760285.38454,1880.14,3758405.24454,13144258.54365
2024-03-08 01:14:00,1,0.02,94568000,1891360.0,945.68,-1892305.68,11251952.86365
2024-03-08 01:14:00,1,0.03,94568000,2837040.0,1418.52,-2838458.52,8413494.34365
2024-03-08 01:14:00,0,0.00426,94453000,402369.77999999997,201.18,402168.6,8815662.94365
2024-03-08 01:19:00,1,0.0042,94686000,397681.19999999995,198.84,-397880.04,8417782.90365
2024-03-08 01:19:00,1,0.02,94686000,1893720.0,946.86,-1894666.86,6523116.04365
2024-03-08 01:19:00,1,0.02,94688000,1893760.0,946.88,-1894706.88,4628409.1636500005
2024-03-08 01:19:00,1,0.03,94688000,2840640.0,1420.32,-2842060.32,1786348.8436500006
2024-03-08 01:19:00,1,0.01978851,94689000,1873754.22339,936.87,-1874691.09339,-88342.24973999942
2024-03-08 01:28:00,0,0.02022126,94677000,1914488.2330200002,957.24,1913530.9930200002,1825188.7432800008
2024-03-08 01:29:00,1,0.0023184,94787000,219754.1808,109.87,-219864.0508,1605324.6924800007
2024-03-08 01:29:00,1,0.017981599999999997,94787000,1704421.9191999997,852.21,-1705274.1291999996,-99949.43671999895
2024-03-08 01:37:00,0,0.03349342,94640000,3169817.2688,1584.9,3168232.3688000003,3068282.9320800016
2024-03-08 01:37:00,0,0.009162299999999998,94640000,867120.0719999998,433.56,866686.5119999998,3934969.444080001
2024-03-08 01:37:00,0,0.01650658,94640000,1562182.7312,781.09,1561401.6412,5496371.085280001
2024-03-08 02:07:00,1,0.00214865,94994000,204108.8581,102.05,-204210.9081,5292160.1771800015
2024-03-08 02:07:00,1,0.04785135,94994000,4545591.1419,2272.79,-4547863.9319,744296.2452800013
2024-03-08 02:13:00,0,0.05,95105000,4755250.0,2377.62,4752872.38,5497168.625280001
2024-03-08 02:16:00,1,0.02436307,95227000,2320022.06689,1160.01,-2321182.0768899997,3175986.5483900015
2024-03-08 02:16:00,0,0.00390025,95193000,371276.49825,185.63,371090.86825,3547077.4166400013
2024-03-08 02:16:00,0,0.04609975,95193000,4388373.50175,2194.18,4386179.32175,7933256.7383900015
2024-03-08 02:25:00,0,0.0152,95339000,1449152.8,724.57,1448428.23,9381684.968390001
2024-03-08 02:27:00,1,0.00256608,95182000,244244.62656,122.12,-244366.74656,9137318.221830001
2024-03-08 02:27:00,1,0.04743392,95182000,4514855.373439999,2257.42,-4517112.793439999,4620205.428390002
2024-03-08 02:59:00,0,0.05,94893000,4744650.0,2372.32,4742277.68,9362483.108390002
2024-03-08 03:00:00,1,0.00032079,95066000,30496.222139999998,15.24,-30511.46214,9331971.646250002
2024-03-08 03:00:00,1,0.000663,95066000,63028.757999999994,31.51,-63060.268,9268911.378250003
2024-03-08 03:00:00,1,0.00811825,95066000,771769.5545000001,385.88,-772155.4345000001,8496755.943750003
2024-03-08 03:00:00,1,0.04089796,95066000,3888005.46536,1944.0,-3889949.46536,4606806.478390004
2024-03-08 03:55:00,0,0.0041,94925000,389192.50000000006,194.59,388997.91000000003,4995804.388390004
2024-03-08 03:55:00,0,0.00601714,94925000,571177.0144999999,285.58,570891.4345,5566695.822890004
2024-03-08 03:55:00,0,0.03596206,94927000,3413770.4696199996,1706.88,3412063.5896199998,8978759.412510004
2024-03-08 03:57:00,0,8.222e-05,94930000,7805.1446,3.9,7801.2446,8986560.657110004
2024-03-08 04:02:00,0,0.00087331,94982000,82948.73041999999,41.47,82907.26041999999,9069467.917530004
2024-03-08 04:03:00,1,0.05,95189000,4759450.0,2379.72,-4761829.72,4307638.197530004
2024-03-08 04:05:00,1,0.00399502,95164000,380182.08328,190.09,-380372.17328000005,3927266.024250004
2024-03-08 04:05:00,1,0.04300498,95164000,4092525.9167199996,2046.26,-4094572.1767199994,-167306.15246999543
2024-03-08 04:08:00,0,0.02595302,95035000,2466445.2557,1233.22,2465212.0357,2297905.8832300045
2024-03-08 04:08:00,0,0.0037,95035000,351629.5,175.81,351453.69,2649359.5732300044
2024-03-08 04:08:00,0,0.02034698,95035000,1933675.2443000001,966.83,1932708.4143,4582067.987530004
2024-03-08 04:27:00,1,0.05,94682000,4734100.0,2367.05,-4736467.05,-154399.06246999558
2024-03-08 05:33:00,1,0.01600681,95162000,1523240.05322,761.62,-1524001.67322,-1678400.7356899956
2024-03-08 05:33:00,0,0.02924048,95089000,2780448.0027199998,1390.22,2779057.7827199996,1100657.047030004
2024-03-08 05:35:00,1,0.002,94997000,189994.0,94.99,-190088.99,910568.057030004
2024-03-08 05:37:00,0,0.00530898,94901000,503827.51097999996,251.91,503575.60098,1414143.658010004
2024-03-08 05:37:00,0,0.00050906,94901000,48310.30306,24.15,48286.15306,1462429.811070004
2024-03-08 05:37:00,0,0.00814137,94901000,772624.15437,386.31,772237.84437,2234667.655440004
2024-03-08 05:37:00,0,0.00817389,94901000,775710.3348899999,387.85,775322.48489,3009990.140330004
2024-03-08 05:37:00,0,0.00068152,94901000,64676.929520000005,32.33,64644.59952,3074634.739850004
2024-03-08 05:40:00,0,0.00263325,94905000,249908.59125000003,124.95,249783.64125000002,3324418.381100004
2024-03-08 05:54:00,1,0.00105347,94921000,99996.42586999999,49.99,-100046.41587,3224371.965230004
2024-03-08 05:54:00,0,0.05,94831000,4741550.0,2370.77,4739179.23,7963551.195230004
2024-03-08 05:54:00,0,0.05,94832000,4741600.0,2370.8,4739229.2,12702780.395230005
