book-imbalance-0.2-5-1|mid_price|timestamp
-22.14646705891937|4640500.0|2024-04-25 00:00:01
-155.23510055150837|4640000.0|2024-04-25 00:00:06
-648.4551287125796|4640500.0|2024-04-25 00:00:11
-1137.7565145930275|4639500.0|2024-04-25 00:00:16
-1100.7567872097716|4639000.0|2024-04-25 00:00:21
-569.3706542709842|4639000.0|2024-04-25 00:00:26
-1264.5604746723548|4639000.0|2024-04-25 00:00:31
-1042.621855756268|4638500.0|2024-04-25 00:00:36
-1190.0388626465574|4638500.0|2024-04-25 00:00:41
-1097.4201213289052|4638500.0|2024-04-25 00:00:46
-1278.508878974244|4638500.0|2024-04-25 00:00:51
-1333.2217667708173|4638500.0|2024-04-25 00:00:55
-1680.7228070031852|4636000.0|2024-04-25 00:01:01
-1204.5501951389015|4635500.0|2024-04-25 00:01:05
-864.4681231174618|4634500.0|2024-04-25 00:01:10
16.825475939549506|4635000.0|2024-04-25 00:01:15
-2004.6083017122|4637500.0|2024-04-25 00:01:20
-1.5994063187390566|4635000.0|2024-04-25 00:01:25
-141.1811511060223|4634000.0|2024-04-25 00:01:30
265.2916492903605|4635500.0|2024-04-25 00:01:35
1062.1624768581241|4635000.0|2024-04-25 00:01:40
233.27798755653203|4635000.0|2024-04-25 00:01:45
613.1764382673427|4635000.0|2024-04-25 00:01:50
617.2994145937264|4635000.0|2024-04-25 00:01:55
530.2259482899681|4635000.0|2024-04-25 00:02:00
213.24448160734028|4634500.0|2024-04-25 00:02:05
311.5225743120536|4634000.0|2024-04-25 00:02:10
341.04747242759913|4634000.0|2024-04-25 00:02:15
443.35721461474895|4632500.0|2024-04-25 00:02:20
-649.1217843303457|4634000.0|2024-04-25 00:02:25
-649.6728871706873|4634000.0|2024-04-25 00:02:30
-635.6426543882117|4633500.0|2024-04-25 00:02:35
-845.1464235242456|4634500.0|2024-04-25 00:02:40
-420.4883497040719|4633500.0|2024-04-25 00:02:45
245.6056956583634|4631500.0|2024-04-25 00:02:50
-343.50690814014524|4631500.0|2024-04-25 00:02:55
-385.14075178839266|4631500.0|2024-04-25 00:03:00
-447.06215509586036|4631500.0|2024-04-25 00:03:05
-1150.125806324184|4631500.0|2024-04-25 00:03:10
-1382.248924012296|4630500.0|2024-04-25 00:03:15
-1595.110774293542|4630500.0|2024-04-25 00:03:20
-1080.6535928361118|4631000.0|2024-04-25 00:03:25
-1336.5793377384543|4631500.0|2024-04-25 00:03:30
629.6181876854971|4631500.0|2024-04-25 00:03:35
122.53821746073663|4631500.0|2024-04-25 00:03:40
-249.1083059636876|4631500.0|2024-04-25 00:03:45
286.50892031472176|4630500.0|2024-04-25 00:03:50
-871.3472214899957|4630500.0|2024-04-25 00:03:55
-1912.0860034013167|4629500.0|2024-04-25 00:04:00
1517.3006525505334|4625500.0|2024-04-25 00:04:05
1305.4643823038787|4627000.0|2024-04-25 00:04:10
358.37904173880816|4627000.0|2024-04-25 00:04:15
-549.2328887023032|4627000.0|2024-04-25 00:04:20
-460.2965467972681|4626000.0|2024-04-25 00:04:25
-480.44481236394495|4626500.0|2024-04-25 00:04:31
-532.0684057027102|4625500.0|2024-04-25 00:04:36
-516.6757578738034|4625500.0|2024-04-25 00:04:42
-260.7235357519239|4625500.0|2024-04-25 00:04:47
255.21053162682801|4625000.0|2024-04-25 00:04:52
-896.2136770403013|4626000.0|2024-04-25 00:04:57
-898.6311068683863|4626000.0|2024-04-25 00:05:02
-40.09681801497936|4624500.0|2024-04-25 00:05:07
-559.8659849502146|4625500.0|2024-04-25 00:05:12
-65.92673129122704|4624500.0|2024-04-25 00:05:17
-517.0455976920202|4625000.0|2024-04-25 00:05:22
-653.6372396694496|4625500.0|2024-04-25 00:05:27
-524.5315094413236|4625000.0|2024-04-25 00:05:32
-602.4277924625203|4625000.0|2024-04-25 00:05:37
-1353.9003505492583|4624500.0|2024-04-25 00:05:42
-1052.6063882429153|4624000.0|2024-04-25 00:05:47
-1826.310837798752|4623500.0|2024-04-25 00:05:52
-1852.107471860014|4623500.0|2024-04-25 00:05:57
-2197.213854001835|4624000.0|2024-04-25 00:06:02
-684.5878310883418|4624000.0|2024-04-25 00:06:07
-143.632848020643|4624000.0|2024-04-25 00:06:12
-53.81870540603995|4624000.0|2024-04-25 00:06:17
395.3953728619963|4624000.0|2024-04-25 00:06:22
362.39144421275705|4624500.0|2024-04-25 00:06:27
243.42122325859964|4624500.0|2024-04-25 00:06:32
383.8818383216858|4624000.0|2024-04-25 00:06:37
-198.74459577258676|4623500.0|2024-04-25 00:06:42
147.24746387358755|4623500.0|2024-04-25 00:06:47
459.42244768422097|4623500.0|2024-04-25 00:06:52
505.0440842071548|4623500.0|2024-04-25 00:06:57
368.8272050153464|4623500.0|2024-04-25 00:07:02
360.1366587402299|4624500.0|2024-04-25 00:07:07
-484.8667161250487|4626000.0|2024-04-25 00:07:11
-151.9271358223632|4627500.0|2024-04-25 00:07:16
189.3310124250129|4625500.0|2024-04-25 00:07:21
35.05364840477705|4624500.0|2024-04-25 00:07:26
-70.11934776604176|4624000.0|2024-04-25 00:07:31
1.4928146256133914|4624000.0|2024-04-25 00:07:36
88.11320461053401|4624000.0|2024-04-25 00:07:41
591.9036357793957|4622500.0|2024-04-25 00:07:46
647.7502154661343|4622500.0|2024-04-25 00:07:51
537.2724945917726|4624000.0|2024-04-25 00:07:56
-272.30636547412723|4627000.0|2024-04-25 00:08:01
-642.8821578063071|4628000.0|2024-04-25 00:08:06
766.0866044368595|4625500.0|2024-04-25 00:08:11
711.1806127177551|4625500.0|2024-04-25 00:08:16
342.44149118848145|4625500.0|2024-04-25 00:08:21
-490.9950111526996|4625500.0|2024-04-25 00:08:26
207.68958735186607|4624000.0|2024-04-25 00:08:31
-337.2089366754517|4624000.0|2024-04-25 00:08:36
-295.44790472555906|4624000.0|2024-04-25 00:08:41
-47.33384662307799|4624000.0|2024-04-25 00:08:46
345.9781887419522|4624000.0|2024-04-25 00:08:51
170.98725552018732|4624000.0|2024-04-25 00:08:56
355.799082939513|4624000.0|2024-04-25 00:09:01
174.52434983011335|4623500.0|2024-04-25 00:09:06
-230.11113925557584|4623500.0|2024-04-25 00:09:11
-157.01068272814155|4623500.0|2024-04-25 00:09:16
-451.642844831571|4624000.0|2024-04-25 00:09:21
329.7933475160971|4624000.0|2024-04-25 00:09:26
654.8100979914889|4622500.0|2024-04-25 00:09:31
1007.444696187973|4622500.0|2024-04-25 00:09:36
977.9162519117817|4624500.0|2024-04-25 00:09:41
