timestamp|side|price|quantity|calculated_amount|fee|PnL|cumulative_PnL|current_quantity
2024-03-08 01:00:00|0|94737000|0.05|4736850.0|2368.42|-4739218.42|-5296394.939530001|0.05577234000000002
2024-03-08 01:00:00|0|94635000|0.00550875|521320.55624999997|260.66|-521581.21624999994|-5817976.155780001|0.06128109000000002
2024-03-08 01:00:00|0|94621000|0.00341083|322736.14543000003|161.36|-322897.50543|-6140873.6612100005|0.06469192000000001
2024-03-08 01:00:00|0|94621000|0.00590957|559169.4229700001|279.58|-559449.00297|-6700322.66418|0.07060149000000002
2024-03-08 01:00:00|1|94733000|0.0057|539978.1|269.98|539708.12|-6160614.54418|0.06490149000000002
2024-03-08 01:00:00|0|94621000|0.028538|2700294.098|1350.14|-2701644.2380000004|-8862258.78218|0.09343949000000001
2024-03-08 01:10:00|1|94708000|0.01405934|1331531.97272|665.76|1330866.21272|-7531392.56946|0.07938015000000001
2024-03-08 01:10:00|1|94708000|0.01989651|1884358.66908|942.17|1883416.49908|-5647976.07038|0.05948364000000001
2024-03-08 01:10:00|1|94708000|0.00527933|499994.78563999996|249.99|499744.79563999997|-5148231.27474|0.05420431000000001
2024-03-08 01:10:00|1|94710000|0.00224754|212864.51340000003|106.43|212758.08340000003|-4935473.19134|0.05195677000000001
2024-03-08 01:10:00|1|94708000|0.00416482|394441.77255999995|197.22|394244.55256|-4541228.638780001|0.047791950000000014
2024-03-08 01:10:00|1|94710000|0.02011835|1905408.9285|952.7|1904456.2285|-2636772.4102800004|0.027673600000000013
2024-03-08 01:10:00|1|94710000|0.0145112|1374355.752|687.17|1373668.5820000002|-1263103.8282800002|0.013162400000000013
2024-03-08 01:10:00|1|94710000|0.00784515|743014.1565|371.5|742642.6565|-520461.1717800002|0.005317250000000013
2024-03-08 01:10:00|1|94710000|0.00527776|499856.6496|249.92|499606.7296|-20854.442180000187|3.9490000000012675e-05
2024-03-08 01:13:00|0|94411000|0.03130505|2955541.07555|1477.77|-2957018.84555|-2977873.2877300004|0.03134454000000001
2024-03-08 01:13:00|0|94414000|0.01869495|1765065.0092999998|882.53|-1765947.5392999998|-4743820.82703|0.050039490000000006
2024-03-08 01:13:00|0|94403000|0.04994936|4715369.43208|2357.68|-4717727.112079999|-9461547.93911|0.09998885
